Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Westgate,Wattie's Roast Garlic & Onion Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Westgate,Wattie's Mexican Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Westgate,Wattie's Indian Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Westgate,Wattie's Savoury Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Westgate,Anchor Uno Squeezie Smooth Mixed Berry Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Westgate,Anchor Uno Squeezie Smooth Banana Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Westgate,Anchor Uno Squeezie Smooth Strawberry Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Westgate,Anchor Uno Squeezie Smooth Vanilla Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Westgate,Anchor Uno Squeezie Smooth Peach Mango Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Westgate,The Collective Splitz Toffee 'nana Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Westgate,The Collective Splitz Churro Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Westgate,The Collective Splitz Choc Berry Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Westgate,The Collective Splitz Bickies 'n' Cream Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Westgate,Continental Macci & Cheese Instant Pasta Snack,53g,$3.45/100g,3 for $5.00 ($1.67 ea),$0.16 ea
PAK'nSAVE Westgate,Continental Carbonara Instant Pasta Snack,50g,$3.66/100g,3 for $5.00 ($1.67 ea),$0.16 ea
PAK'nSAVE Westgate,Continental Bolognese Instant Pasta Snack,59g,$3.10/100g,3 for $5.00 ($1.67 ea),$0.16 ea
PAK'nSAVE Westgate,Wattie's Spaghetti In Tomato Sauce,420g,$0.45/100g,$1.89,$0.00
PAK'nSAVE Westgate,Wattie's Baked Beans In Tomato Sauce,420g,$0.45/100g,$1.89,$0.00
PAK'nSAVE Westgate,Fantastic Chicken Instant Noodle Cup,70g,$2.70/100g,$1.89,$0.00
PAK'nSAVE Westgate,Fantastic Beef Instant Noodle Cup,70g,$2.70/100g,$1.89,$0.00
PAK'nSAVE Westgate,Crispeas BBQ Pea Crackers,100g,$1.89/100g,$1.89,$0.00
PAK'nSAVE Westgate,Crispeas Original Pea Crackers,100g,$1.89/100g,$1.89,$0.00
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Black Mustard Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Sage,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Black Sesame Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Allspice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Yellow Mustard Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Whole Allspice,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Chopped Chives,5g,$3.98/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Poppy Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Broccoli,ea,,3 for $5.00 ($1.67 ea),$0.32 ea
