Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Mt Albert,Doritos Nacho Cheese Corn Chips,170g,$1.41/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Doritos Flamin Hot Cheese Supreme Corn Chips,150g,$1.59/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Organic Chickpeas Garbanzo Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Organic Black Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Red Kidney Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Pascall Pineapple Lumps,120g,$1.99/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Beehive Shaved Beef Pastrami,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Pascall Passionfruit Pavlova Dessert Lumps,120g,$1.99/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Beehive Shaved Champagne Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Beehive Shaved Honey Baked Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Beehive Shaved Peppered Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Sour Patch Kids Sweets,190g,$1.26/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Broccoli,ea,,2 for $4.00 ($2.00 ea),$0.49 ea
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Sweet Chilli Chicken,145g,$1.72/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Sweet & Spicy Minced Beef Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Butter Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lay's Stax Original Potato Chips,105g,$2.37/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lay's Stax Sour Cream & Onion Potato Chips,105g,$2.37/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Teriyaki Beef,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,New Zealand Kettle Korn Salted And Sweet Popcorn,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Cantonese Beef Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Coconut Curry Vegetables,110g,$2.26/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Black Pepper Beef,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Thai Green Curry Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Pad Thai Ready Sauce,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Honey & Soy Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Cantonese Chicken,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Satay Chicken Ready Sauce,110g,$2.26/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Gluten Free Sweet & Sour Pork Ready Sauce,145g,$1.72/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Spicy Chicken (mala) Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Korean Pork Stir Fry Ready Sauce,100g,$2.49/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Lee Kum Kee Ready Sauce For Cantonese Chow Mein,120g,$2.08/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bikano Spicy Coated Peanuts,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Tasti Choc Drizzle Chewy Muesli Squares,175g,$1.42/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Tasti Double Choc Chewy Muesli Squares,175g,$1.42/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bikano Khatta Mitha,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bikano Aloo Bhujia,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bikano Cruncy Spicy Lentil Mix,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Mother Earth Apple & Strawberry Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Mother Earth Spinach Apple Blueberry & Banana Vege Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bikano Cruncy Spicy Noodles of Dew Gram,150g,$1.66/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Mother Earth Apple & Raspberry Fruit Sticks,152g,$1.64/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Bluebird Rashuns Party Bag,190g,$1.31/100g,$2.49,$0.00
PAK'nSAVE Mt Albert,Wattie's Medium Salsa Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Mild Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Hot Chilli Beans,420g,$0.62/100g,$2.59,$0.00
PAK'nSAVE Mt Albert,Rutherford & Meyer Garlic & Olive Oil Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Mt Albert,Rutherford & Meyer Simply Natural Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Mt Albert,Rutherford & Meyer Three Seed Gourmet Wafers,60g,$4.45/100g,$2.67,$0.00
PAK'nSAVE Mt Albert,Sealord Savoury Onion Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Lemon Pepper Flavour Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Smoked Flavour Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Sweet Thai Chilli Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Chunky Style Tuna In Spring Water,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Tomato & Basil Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Chunky Style Tuna In Oil,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Satay Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Mayonnaise Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Sealord Olive Oil Blend Tuna,95g,$28.32/1kg,3 for $5.00 ($1.67 ea),$1.02 ea
PAK'nSAVE Mt Albert,Fabulicious Raspberry Sherbert Fizz 25% Reduced Sugar,180g,$1.49/100g,$2.69,$0.00
PAK'nSAVE Mt Albert,Fabulicious Thirst Lemonade Sherbert Fizz,180g,$1.49/100g,$2.69,$0.00
PAK'nSAVE Mt Albert,RJ's Mackintosh's Toffee De Luxe,180g,$1.49/100g,$2.69,$0.00
PAK'nSAVE Mt Albert,Fabulicious Raspberry Twister,200g,$1.35/100g,$2.69,$0.00
PAK'nSAVE Mt Albert,Fabulicious Raspberry Sherbert Fizz,200g,$1.35/100g,$2.69,$0.00
